,Id,t (Myr),x (pc),y (pc),z (pc)
875,11,7.2,-8215.173236677743,-1613.6065528312795,32.71459577556634
876,0,7.3,-8228.772701871683,-1628.818956060079,29.61994038227855
877,1,7.3,-8205.565080530227,-1636.5759314558215,40.514772812632145
878,2,7.3,-8241.132426538457,-1627.2563739465022,19.400104933356886
879,3,7.3,-8258.446669644456,-1637.5983714314784,41.770209216852805
880,4,7.3,-8232.507898070086,-1632.509163605205,40.511170870374244
881,5,7.3,-8243.421959146646,-1603.5937558824796,2.2599897714882
882,6,7.3,-8240.879679789294,-1628.947243020597,36.56131332655569
883,7,7.3,-8255.08182374855,-1648.8963979630794,19.76847644457629
884,8,7.3,-8205.68383502586,-1632.4891593730101,21.540282454369773
885,9,7.3,-8223.986060744657,-1619.8113711213978,51.9544862859582
886,10,7.3,-8250.340223942696,-1669.320625334672,42.719610697596345
887,11,7.3,-8215.907124623885,-1635.2045783978276,32.35693359852364
888,0,7.4,-8229.398074175595,-1650.5777485796848,29.405756573198527
889,1,7.4,-8205.991722721219,-1658.3413235956255,40.29240407873244
890,2,7.4,-8241.825588577512,-1648.8666514862289,19.18990318390557
891,3,7.4,-8259.174796444235,-1659.4082065366338,41.42707711540947
892,4,7.4,-8233.109234416832,-1654.1102559825595,40.16022142620965
893,5,7.4,-8244.571588138895,-1625.241106196123,2.115837464376746
894,6,7.4,-8241.637932463387,-1650.506807651505,36.41475551659467
895,7,7.4,-8255.743425230063,-1670.2242971135038,19.453606170162175
896,8,7.4,-8206.084116559168,-1654.1938073351425,21.260798917917434
897,9,7.4,-8225.006623212963,-1641.5397697470419,51.982142275895406
898,10,7.4,-8250.849575780696,-1690.919403273494,42.60533726038256
899,11,7.4,-8216.641012570028,-1656.8026039643757,31.999271421480934
900,0,7.5,-8230.023446479507,-1672.336541099291,29.191572764118515
901,1,7.5,-8206.41836491221,-1680.1067157354291,40.07003534483273
902,2,7.5,-8242.518750616568,-1670.4769290259558,18.97970143445426
903,3,7.5,-8259.902923244013,-1681.218041641789,41.08394501396614
904,4,7.5,-8233.710570763578,-1675.7113483599135,39.80927198204506
905,5,7.5,-8245.721217131144,-1646.888456509766,1.971685157265292
906,6,7.5,-8242.396185137479,-1672.0663722824129,36.26819770663366
907,7,7.5,-8256.405026711578,-1691.5521962639282,19.13873589574806
908,8,7.5,-8206.484398092478,-1675.8984552972747,20.981315381465095
909,9,7.5,-8226.027185681267,-1663.2681683726858,52.009798265832615
910,10,7.5,-8251.358927618696,-1712.5181812123158,42.49106382316877
911,11,7.5,-8217.37490051617,-1678.4006295309239,31.641609244438232
912,0,7.6,-8230.64881878342,-1694.095333618897,28.977388955038492
913,1,7.6,-8206.845007103202,-1701.872107875233,39.847666610933025
914,2,7.6,-8243.21191265562,-1692.0872065656824,18.76949968500295
915,3,7.6,-8260.631050043792,-1703.0278767469442,40.7408129125228
916,4,7.6,-8234.311907110325,-1697.3124407372677,39.45832253788047
917,5,7.6,-8246.870846123393,-1668.5358068234093,1.827532850153836
918,6,7.6,-8243.154437811572,-1693.6259369133213,36.12163989667264
919,7,7.6,-8257.066628193092,-1712.8800954143521,18.823865621333937
920,8,7.6,-8206.884679625786,-1697.6031032594071,20.70183184501276
921,9,7.6,-8227.04774814957,-1684.99656699833,52.03745425576982
922,10,7.6,-8251.868279456696,-1734.1169591511377,42.376790385955
923,11,7.6,-8218.108788462314,-1699.998655097472,31.283947067395527
924,0,7.7,-8231.274191087332,-1715.8541261385033,28.763205145958477
925,1,7.7,-8207.271649294195,-1723.637500015037,39.62529787703332
926,2,7.7,-8243.905074694676,-1713.697484105409,18.559297935551637
927,3,7.7,-8261.35917684357,-1724.8377118520993,40.39768081107947
928,4,7.7,-8234.913243457071,-1718.913533114622,39.10737309371588
929,5,7.7,-8248.020475115642,-1690.1831571370526,1.6833805430423818
930,6,7.7,-8243.912690485664,-1715.1855015442293,35.97508208671162
931,7,7.7,-8257.728229674607,-1734.2079945647765,18.50899534691982
932,8,7.7,-8207.284961159094,-1719.3077512215395,20.42234830856042
933,9,7.7,-8228.068310617877,-1706.7249656239742,52.06511024570702
934,10,7.7,-8252.377631294696,-1755.7157370899597,42.262516948741215
935,11,7.7,-8218.842676408456,-1721.5966806640201,30.926284890352825
936,0,7.8,-8231.899563391244,-1737.612918658109,28.549021336878457
